element,wave_A,wave_nm,loggf,lower_state_eV,lower_state_cm1,lower_j,upper_state_eV,upper_state_cm1,upper_j,upper_g,lande_lower,lande_upper,spectrum_transition_type,turbospectrum_rad,rad,stark,waals,waals_single_gamma_format,turbospectrum_fdamp,spectrum_fudge_factor,theoretical_depth,theoretical_ew,lower_orbital_type,upper_orbital_type,molecule,spectrum_synthe_isotope,ion,spectrum_moog_species,turbospectrum_species,width_species,reference_code,spectrum_support,turbospectrum_support,moog_support,width_support,synthe_support,sme_support,wave_peak,wave_base,wave_top,note,peak,base,top,depth,relative_depth,wave_base_fit,wave_top_fit,base_fit,top_fit,mu,sig,A,baseline,gamma,mu_err,fwhm,fwhm_kms,R,depth_fit,relative_depth_fit,integrated_flux,ewr,ew,ew_err,snr,mean_flux,mean_flux_continuum,diff_wavelength,rms,telluric_wave_peak,telluric_fwhm,telluric_R,telluric_depth,grouped,reference_for_group,discarded
Fe 1,4961.913,496.1913,-2.19,3.634,29310.187,6.0,6.132,49457.916,5.0,11.0,1.01,1.16,AO,102000000.0,8.01,-6.1,375.256,-7.563,375.256,1.0,0.51,31.2,s,p,F,0,1,26.0,26.0,26.0,MRW,T,T,T,T,T,T,496.1913,496.1709999981988,496.21499999819775,,76192,76171,76215,0.038483500480651855,0.01812958129502218,496.1709999981988,496.21499999819775,76171,76215,496.1935903445686,0.01118977741583987,-0.039092614813236545,1.0,9999.0,0.012372745349966971,0.02634991215825434,15.92020753134185,18830.93906972026,0.03909261481323656,0.03598172919311937,0.001096493602841777,-5.655645047646098,10.96493602841777,10.395209478071141,90.50082161150272,0.971610806326368,1.0,0.06713866449503922,0.0019057195042656036,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4962.572,496.2572,-1.182,4.178,33697.843,5.0,6.675,53837.508,6.0,13.0,1.42,1.23,AO,240000000.0,8.38,-4.66,905.278,-7.184,905.278,1.0,0.67,57.29,p,d,F,0,1,26.0,26.0,26.0,BWL,T,T,T,T,T,T,496.2572,496.21499999819775,496.28199999819617,,76258,76215,76282,0.12499535083770752,0.10464143165207784,496.21499999819775,496.28199999819617,76215,76282,496.25752283447207,0.010378851921248652,-0.12504357003210936,1.0,9999.0,0.0050845846187469275,0.024440328548564306,14.764564430281924,20304.86299921789,0.1250435700321093,0.1162598719501391,0.0032531239751315364,-5.183406488979535,32.53123975131536,9.290530173793426,90.69805774669823,0.9630664668736919,1.0,0.06227311152749191,0.01024668526215961,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4973.102,497.3102,-0.73,3.96,31939.555,1.0,6.452,52038.891,1.0,3.0,0.51,0.8,AO,151000000.0,8.18,-5.46,745.24,-7.262,745.24,1.0,0.77,94.37,p,s,F,0,1,26.0,26.0,26.0,2014MNRAS.,T,T,T,T,T,T,497.3102,497.26399999817295,497.3589999981707,,77311,77264,77359,0.23626911640167236,0.2159151972160427,497.26399999817295,497.3589999981707,77264,77359,497.3108366795747,0.009922636887327245,-0.23542529304042442,1.0,9999.0,0.0027015394980325746,0.023366024241841702,14.085673032825376,21283.502556204523,0.23542529304042437,0.2269464131118355,0.005855583154992043,-4.929057770091815,58.55583154992043,8.492032818766168,90.52054456894453,0.9518035825561074,1.0,0.05953582132396347,0.0065477524363263895,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4983.25,498.325,-0.122,4.154,33504.268,3.0,6.642,53571.345,2.0,5.0,1.49,1.4,GA,295000000.0,8.47,-4.57,-7.51,-7.51,-7.51,1.0,0.8,123.44,d,f,F,0,1,26.0,26.0,26.0,K07,T,T,T,T,T,T,498.325,498.3019999981484,498.3559999981471,,78326,78302,78356,0.3161827325820923,0.2958288133964626,498.3019999981484,498.3559999981471,78302,78356,498.325288571196,0.010634288166189745,-0.31597969162936795,1.0,9999.0,0.003214807744630348,0.025041834938379026,15.065166109735465,19899.71141481587,0.315979691629368,0.26919034350391025,0.00842282019361116,-4.7720553972457775,84.22820193611159,9.078624457523109,90.35563527257179,0.8376540378667414,1.0,0.06380572899713846,0.018068902384678516,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4983.853,498.3853,-0.006,4.103,33092.928,4.0,6.59,53151.936,4.0,9.0,1.5,1.44,GA,295000000.0,8.47,-4.7,-7.52,-7.52,-7.52,1.0,0.82,138.16,d,f,F,0,1,26.0,26.0,26.0,K07,T,T,T,T,T,T,498.3853,498.3559999981471,498.40099999814606,,78386,78356,78401,0.36002278327941895,0.33966886409378927,498.3559999981471,498.40099999814606,78356,78401,498.3870664016179,0.013144909851443972,-0.35583803408655573,1.0,9999.0,0.0039769212072228175,0.030953897208305065,18.61955406619474,16100.9472586831,0.3558380340865557,0.30910715811762257,0.011724650681487469,-4.628466851037604,117.24650681487469,11.013994809396527,90.33177064446248,0.8364260192889317,1.0,0.07886945910866383,0.015977846699719828,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4986.223,498.6223,-1.29,4.218,34020.464,1.0,6.703,54063.342,2.0,5.0,1.49,1.01,AO,295000000.0,8.47,-4.73,950.279,-7.163,950.279,1.0,0.63,49.84,d,f,F,0,1,26.0,26.0,26.0,MRW,T,T,T,T,T,T,498.6223,498.58399999814173,498.6619999981399,,78623,78584,78662,0.10532170534133911,0.08496778615570943,498.58399999814173,498.6619999981399,78584,78662,498.6202548171573,0.015030206577484781,-0.09875548197914166,1.0,9999.0,0.004833609828429343,0.03539343172961718,21.280089993873265,14087.931869005864,0.09875548197914163,0.09416938140083353,0.003720626686426903,-5.127153819573072,37.20626686426903,13.779242464797994,90.61360254595957,0.9212724947267108,1.0,0.09018123946490869,0.015180713029527441,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4986.903,498.6903,-2.09,4.256,34326.956,3.0,6.742,54377.898,2.0,5.0,1.24,1.24,AO,240000000.0,8.38,-4.82,1001.279,-7.141,1001.279,1.0,0.24,14.1,d,f,F,0,1,26.0,26.0,26.0,FMW,T,T,T,T,T,T,498.6903,498.6619999981399,498.7039999981389,,78691,78662,78704,0.040859341621398926,0.02050542243576925,498.6619999981399,498.7039999981389,78662,78704,498.6894458284202,0.009676195884865768,-0.04089904943619418,1.0,9999.0,0.008851923960507749,0.022785700029327893,13.697865627966703,21886.07087719701,0.04089904943619416,0.03631294885788605,0.0009919911558414066,-5.7013223767951136,9.919911558414066,8.928034554288445,90.78594995785392,0.9828323038487599,1.0,0.0580571753091946,0.0024571323447578164,0.0,0.0,0.0,0.0,False,False,False
Fe 2,4993.35,499.335,-3.684,2.807,22639.981,4.5,5.289,42658.662,3.5,8.0,1.31,1.7,AO,309000000.0,8.49,-6.53,172.22,-7.894,172.22,1.0,0.57,38.66,s,p,F,0,2,26.1,26.0,26.01,RU,T,T,T,T,T,T,499.335,499.2879999981251,499.3549999981235,,79336,79288,79355,0.1897919774055481,0.16943805821991842,499.2879999981251,499.3549999981235,79288,79355,499.33521932227194,0.009669862524968896,-0.189106157616253,1.0,9999.0,0.003512938423787874,0.022770786106490346,13.671196569555706,21928.765084660237,0.18910615761625293,0.178553691700573,0.004583697032398321,-5.037176294534645,45.836970323983216,8.47019703361023,90.76898077048912,0.9344454053147085,1.0,0.058019175149813376,0.012262975652240642,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4999.112,499.9112,-1.64,4.186,33762.366,2.0,6.666,53764.915,3.0,7.0,0.68,1.08,GA,102000000.0,8.01,-4.58,-7.6,-7.6,-7.6,1.0,0.51,32.41,d,p,F,0,1,26.0,26.0,26.0,MRW,T,T,T,T,T,T,499.9112,499.88099999811106,499.92499999811,,79912,79881,79925,0.05531507730484009,0.03496115811921041,499.88099999811106,499.92499999811,79881,79925,499.91349038706056,0.01334639642715927,-0.05503652038114472,1.0,9999.0,0.011151778577679098,0.031428361835604095,18.847232624816993,15906.44440846185,0.055036520381144705,0.051690434832743826,0.0018412167751160984,-5.433789933492295,18.412167751160982,12.411007178096296,90.50748513355362,0.9421746149659157,1.0,0.08007837856295562,0.002891914130917772,0.0,0.0,0.0,0.0,False,False,False
Fe 1,5002.792,500.2792,-1.46,3.397,27398.654,3.0,5.874,47377.006,4.0,9.0,1.25,1.33,AO,79400000.0,7.9,-5.27,848.232,-7.204,848.232,1.0,0.76,83.68,p,s,F,0,1,26.0,26.0,26.0,2014MNRAS.,T,T,T,T,T,T,500.2792,500.24199999810253,500.3239999981006,,80280,80242,80324,0.2000393271446228,0.17968540795899313,500.24199999810253,500.3239999981006,80242,80324,500.27939114976147,0.010382524588409518,-0.1990377582484031,1.0,9999.0,0.003287132993528328,0.02444897701881344,14.65105108409599,20462.18092334896,0.19903775824840308,0.19261768235500099,0.0051799834726881785,-4.984884238546259,51.799834726881784,9.044007903252243,90.567737757471,0.9463631650132518,1.0,0.062295147530457104,0.011689551264164521,0.0,0.0,0.0,0.0,False,False,False
