Parameter,Value,Errors
teff,6581.7008393722745,460.65194005032856
logg,4.365751784199858,1.1521576068984223
MH,0.048273918380427064,0.20462467779928195
alpha,0.0,0.0
vmic,1.21,0.0
vmac,9.79635707336282,8.830251774864339
vsini,1.2862664245161108,27.96456894474629
limb_darkening_coeff,0.0,0.0
R,47000.0,0.0
Fe/h,0.048273918380427064,0.20462467779928195
