Parameter,Value,Errors
teff,6620.181001627795,161.22057336261418
logg,4.264126366938603,0.2401110054209162
MH,0.045500000000000096,0.0705738592088837
alpha,0.0,0.0
vmic,1.21,0.0
vmac,10.19,9.153393748775162
vsini,1.27332434061464,361.74078962034025
limb_darkening_coeff,0.6,3755.692028859764
R,40000.0,0.0
Fe/h,0.045500000000000096,0.0705738592088837
