wave_peak,wave_base,wave_top,chisq,rchisq,wchisq,rwchisq,rms
480.0649,480.03999999858024,480.0849999985792,0.014452472634378329,0.00036131181585945824,1.9322066768931543,0.048305166922328856,0.01772524154148193
480.1025,480.0849999985792,480.1259999985782,0.010683030958681195,0.0002967508599633665,1.3911320012211976,0.03864255558947771,0.015948601191596707
481.1983,481.19799999855286,481.2099999985526,0.0014544115071693986,0.00020777307245277123,0.18056159087738577,0.02579451298248368,0.010577230650969084
489.6439,489.62599999835356,489.6459999983531,0.06433760133982583,0.004289173422655055,7.921368835113096,0.5280912556742065,0.05535065764646765
491.8012,491.7759999983027,491.81799999830173,0.004510508998324259,0.00012190564860335835,0.6152341831909989,0.016627950897054024,0.010241853255176242
491.8994,491.8739999983004,491.93999999829884,0.03875182209136786,0.0006352757719896371,6.5949921593309275,0.10811462556280209,0.024049644578429303
491.9861,491.9809999982979,491.9879999982977,0.012800017111581808,0.006400008555790904,1.6824590877128958,0.8412295438564479,0.04000002673683764
492.0502,492.0059999982973,492.08299999829546,0.059863946604086206,0.0008314437028345307,11.82322559022528,0.16421146653090665,0.02770354661273863
492.4301,492.3519999982891,492.4499999982868,0.06301139355552356,0.0006775418661884254,11.321301321473372,0.12173442281154163,0.025228529937019045
492.477,492.4499999982868,492.50299999828553,0.030629768207275376,0.0006381201709849037,4.180652679320999,0.08709693081918747,0.023816337454872417
492.5559,492.54099999828463,492.58199999828366,0.25726855483897865,0.0071463487455271845,35.84387969494728,0.9956633248596467,0.07826520160250304
493.6335,493.6129999982593,493.65299999825834,0.0032515877684733754,9.290250767066787e-05,0.43196837431947477,0.012341953551984993,0.008905448823234742
493.7348,493.71499999825687,493.75899999825583,0.029910718116960996,0.000766941490178487,4.456293938470067,0.11426394714025812,0.02578143954129318
493.8814,493.8569999982535,493.9029999982524,0.019640771998439832,0.00047904321947414227,3.5950619763240392,0.08768443844692779,0.02044232780101747
494.5444,494.52699999823767,494.554999998237,0.007375454632806298,0.00032067194055679555,0.9954025329879657,0.04327837099947677,0.015947602384713096
494.5636,494.554999998237,494.5849999982363,0.09667774756354851,0.00386710990254194,13.27273538877307,0.5309094155509227,0.05584475819787372
494.6387,494.61699999823554,494.67199999823424,0.018141796532477498,0.00036283593064955,2.580552568845267,0.05161105137690534,0.017998906976971395
495.7596,495.7439999982089,495.80899999820736,0.1963505837143139,0.0032725097285718984,39.06760741400058,0.651126790233343,0.05454364164736593
496.2572,496.23699999819723,496.2769999981963,0.00876121607799519,0.00025032045937129117,1.1570770506164736,0.03305934430332782,0.014618077747237253
496.4927,496.4759999981916,496.50299999819094,0.003014658942430916,0.00013702995192867802,0.38034255753396773,0.017288298069725806,0.010376241651055749
496.5167,496.51099999819075,496.51899999819057,0.013605845499724548,0.004535281833241516,1.7479033493287588,0.5826344497762529,0.03888136585924555
496.6088,496.5649999981895,496.6389999981877,0.03688302239010303,0.0005345365563783047,5.433257597891884,0.07874286373756353,0.02217596969397371
496.9917,496.96699999818,497.0199999981787,0.007465524560101468,0.00015553176166878058,1.080637478881629,0.02251328081003394,0.011757995357062099
497.6325,497.6249999981644,497.642999998164,0.017030255176753453,0.001310019628981035,2.164696997472458,0.16651515365172756,0.02993875782040947
497.7648,497.74599999816155,497.76699999816105,0.02095765260209949,0.001309853287631218,2.6793204543205,0.16745752839503125,0.030864552043123904
498.1355,498.12999999815247,498.1369999981523,9.621135034528018e-05,4.810567517264009e-05,0.012192797870644898,0.006096398935322449,0.0034679127430141637
498.173,498.149999998152,498.1969999981509,0.02387988511406987,0.0005685686931921398,3.866244108153175,0.09205343114650416,0.02230465436950598
498.2499,498.22799999815015,498.2689999981492,0.04051477471055338,0.0011254104086264828,5.9064257080031854,0.16406738077786626,0.031058613831084186
498.3853,498.35499999814715,498.3999999981461,0.01994702921421892,0.000498675730355473,3.330084832806945,0.08325212082017362,0.020823810167073756
498.4605,498.4539999981448,498.46099999814464,0.0027639496700461036,0.0013819748350230518,0.3573817117845407,0.17869085589227035,0.01858746106265627
498.4629,498.46099999814464,498.4659999981445,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
498.5983,498.5819999981418,498.6029999981413,0.013256740029302728,0.0008285462518314205,1.7089521036085076,0.10680950647553172,0.02454748647501477
499.1268,499.11999999812906,499.15399999812826,0.005079227741540392,0.000175145784191048,0.7236126001323688,0.024952158625254097,0.012046609175010194
500.1479,500.1169999981055,500.1639999981044,0.012287896931438589,0.00029256897455806163,1.7179759037497813,0.0409041881845186,0.01599993289793129
500.2792,500.24499999810246,500.30899999810094,0.37665601923111397,0.006384000325951085,48.76475637873938,0.8265212945549048,0.07612297937003638
500.3741,500.37199999809945,500.37699999809934,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
500.4044,500.3869999980991,500.4299999980981,0.00474143342020435,0.00012477456368958817,0.613800796612229,0.01615265254242708,0.010380744215093144
500.5712,500.5429999980954,500.5909999980943,0.05443687542072458,0.001265973846993595,8.35736353987221,0.19435729162493512,0.03333101620471955
500.9645,500.9609999980855,500.96899999808534,4.9974691322488526e-05,1.665823044082951e-05,0.00626364948251272,0.0020878831608375733,0.002356425997199255
501.6161,501.59099999807063,501.63299999806964,0.34946974281784,0.009445128184265945,49.08804581907005,1.3267039410559471,0.09015100288596416
502.0026,501.9769999980615,502.02499999806037,0.24139803924195122,0.005613907889347703,37.605787930240965,0.8745532076800224,0.07018896349693814
502.3186,502.3059999980537,502.33399999805306,0.0009251924343498992,4.0225758015213005e-05,0.11887532822476897,0.005168492531511694,0.005648290661020893
502.8126,502.7929999980422,502.83399999804124,0.014872316676992145,0.00041311990769422625,2.0400578342035125,0.05666827317231979,0.018817618819171104
502.9618,502.94299999803866,502.99499999803743,0.0072816546759400455,0.0001549288228923414,0.9412761271692516,0.020027151641898968,0.011721335711717898
503.0778,503.06999999803566,503.13299999803417,0.008452346664958532,0.00014573011491307813,1.2256613863171855,0.02113209286753768,0.011492080605355023
503.1914,503.18099999803303,503.2079999980324,0.032059414137921356,0.0014572460971782435,4.093919398853894,0.18608724540244975,0.03383753945478799
503.6922,503.67099999802144,503.7099999980205,0.0015541121067725453,4.5709179610957216e-05,0.19483741294592474,0.005730512145468374,0.006233201638749835
503.9957,503.9679999980144,504.0199999980132,0.01589245506110396,0.00033813734172561614,2.167481370259759,0.0461166248991438,0.017316398085697234
504.2186,504.20299999800886,504.24099999800796,0.02204794800262458,0.000668119636443169,2.966761246507598,0.08990185595477569,0.023776711296293624
504.3584,504.3539999980053,504.36399999800506,0.008708005509664633,0.0017416011019329267,1.1163261139002087,0.22326522278004174,0.028136042090439208
504.4211,504.3969999980043,504.4469999980031,0.01096710789350527,0.00024371350874456156,1.4396904218605575,0.031993120485790165,0.014664287614650818
504.8436,504.82499999799415,504.8659999979932,0.07361967534957074,0.0020449909819325205,9.965816426239059,0.2768282340621961,0.04186704447515991
505.4642,505.4479999979794,505.4859999979785,0.02021857419941517,0.0006126840666489446,2.60179954170777,0.0788424103547809,0.022768947702346366
506.5985,506.59199999795237,506.5999999979522,0.002032880519902645,0.0006776268399675484,0.2589802515578692,0.08632675051928973,0.01502915876962234
506.7713,506.7509999979486,506.80399999794736,0.0035190863088461685,7.331429810096184e-05,0.44287059108510785,0.009226470647606413,0.008072686354531108
506.909,506.90499999794497,506.9279999979444,0.03605739438864433,0.0020031885771469075,4.69525015855611,0.260847231030895,0.038760694432120026
507.6264,507.5919999979287,507.6529999979273,0.017101157936368423,0.00030537782029229325,2.356596496714328,0.042082080298470145,0.016607983863369518
507.9223,507.9099999979212,507.9489999979203,0.02018477253291121,0.0005936697803797414,3.452434992445983,0.10154220566017597,0.022463733289967192
507.974,507.9519999979202,508.01399999791875,0.019945883967182658,0.00034992778889794137,2.9061005769639867,0.050984220648490994,0.017793294602529996
508.3338,508.3109999979117,508.3629999979105,0.02511182007323733,0.0005342940441114325,4.326235375915329,0.09204756118968785,0.02176712948255094
509.0773,509.04499999789437,509.10399999789297,0.010913164033490703,0.00020209563024982784,1.5588347081688507,0.028867309410534274,0.013486514272592643
509.993,509.96699999787256,510.02199999787126,0.013371185333118712,0.00026742370666237426,1.83509307394322,0.0367018614788644,0.015452222062306578
510.403,510.3829999978627,510.413999997862,0.022832318767114813,0.0008781661064274928,2.937917486382456,0.11299682639932523,0.026711607242401906
511.0413,511.00699999784797,511.0679999978465,0.03194611435522247,0.0005704663277718298,4.878330351994172,0.08711304199989592,0.02269933719197988
511.5392,511.511999997836,511.5669999978347,0.010500606166202636,0.00021001212332405272,1.3869753029259886,0.027739506058519773,0.013693459182999584
512.0415,512.0149999978241,512.062999997823,0.019753351311887483,0.00045938026306715076,2.5935344312755895,0.060314754215711384,0.020078088021770118
512.4619,512.4589999978136,512.4729999978133,0.0002769392480369477,3.077102755966086e-05,0.03497628272305774,0.003886253635895305,0.004296814696469527
512.5117,512.4819999978131,512.5499999978115,0.05662726928886887,0.0008988455442677598,8.024570259652872,0.12737413110560114,0.028647601333401718
512.7359,512.7079999978077,512.7619999978065,0.020458210720550183,0.00041751450450102414,3.230453543775046,0.06592762334234788,0.019286458141565727
513.2661,513.245999997795,513.288999997794,0.001584586141014223,4.169963528984797e-05,0.2081602803446357,0.005477902114332519,0.006001110012879857
513.6795,513.6669999977851,513.6819999977847,0.037834903609070776,0.0037834903609070777,4.941229978351246,0.4941229978351246,0.048627990659361235
521.9701,521.9649999975888,521.9729999975887,0.00019119137361367486,6.373045787122496e-05,0.023762710248860418,0.007920903416286805,0.00460906562733435
522.029,522.0209999975875,522.0479999975869,0.022802073322890398,0.0010364578783132,2.8962282819758216,0.13164674008981006,0.028536989356479074
522.2395,522.2369999975824,522.2409999975823,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
522.362,522.3559999975796,522.3629999975794,0.00035187295114424684,0.00017593647557212342,0.04362289857376598,0.02181144928688299,0.006632052389195282
522.454,522.4459999975775,522.465999997577,0.024620925955782018,0.0016413950637188012,3.1761392782792663,0.2117426185519511,0.03424069283051132
522.5526,522.5269999975756,522.5749999975744,0.0011307962221192623,2.6297586560913077e-05,0.14670472729793974,0.0034117378441381333,0.004803901947459093
522.6538,522.6279999975732,522.6699999975722,0.058171515493570365,0.0015722031214478478,10.579886454774801,0.2859428771560757,0.03678078223353792
523.0691,523.0659999975628,523.0709999975627,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
523.4623,523.4329999975541,523.4919999975527,0.0700849667331932,0.0012978697543183926,13.022435453082677,0.24115621209412363,0.03417722602679383
523.7328,523.7019999975478,523.7599999975464,0.015014400227639694,0.00028329057033282443,2.404957166260866,0.045376550306808795,0.015952471902200716
524.2491,524.2239999975354,524.2789999975341,0.011386309622881056,0.00022772619245762114,1.791130309336059,0.03582260618672118,0.014259276193111887
524.3776,524.3559999975323,524.3989999975313,0.003406405068914568,8.964223865564652e-05,0.46902306386285253,0.012342712206917171,0.008798766789771487
