element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Ti 1	4263.132	426.3132	0.220	1.8870	15219.681	5.0	4.7950	38674.284	4.0	9.0	1.210	1.250	GA	1.95E+08	8.290	-5.600	-7.630	-7.630	-7.630	1.000	0.760	49.700	s	p	F	0	1	22.0	22.000000	22.00	LGWSC	T	T	T	T	T	T	426.3150	426.2960	426.3230		126316	126296	126323	0.504	0.436	426.2960	426.3230	126296	126323	426.3147	0.0041	-0.5315	1.000	9999.0000	0.0012	0.0096	6.7776	44233	0.532	0.520	0.0055	-4.89	54.5	2.3	124.2	0.854	1.000	0.0246	0.026	0.0000	0.0000	0	0.000	False	False	False
C 1	4269.019	426.9019	-1.637	7.6850	61983.705	1.0	10.5880	85397.982	2.0	5.0	1.000	1.000	GA	4.79E+08	8.680	-4.200	-7.130	-7.130	-7.130	1.000	0.210	22.790	s	p	F	0	1	6.0	6.000000	6.00	K10	T	T	T	T	T	T	426.9030	426.8980	426.9130		126904	126898	126913	0.140	0.072	426.8980	426.9130	126898	126913	426.9021	0.0080	-0.1420	1.000	9999.0000	0.0068	0.0189	13.2491	22627	0.142	0.082	0.0029	-5.18	28.5	5.5	124.2	0.774	1.000	0.0481	0.004	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4290.379	429.0379	-1.719	2.9900	24115.977	4.0	5.8790	47417.335	5.0	11.0	1.050	1.310	AO	6.46E+07	7.810	-5.760	327.273	-7.625	327.273	1.000	0.850	74.570	s	p	F	0	1	26.0	26.000000	26.00	BWL	T	T	T	T	T	T	429.0390	429.0320	429.0580		129040	129032	129058	0.650	0.582	429.0320	429.0580	129032	129058	429.0386	0.0047	-0.6707	1.000	9999.0000	0.0011	0.0111	7.7383	38741	0.671	0.650	0.0079	-4.73	79.1	2.6	124.2	0.670	1.000	0.0282	0.032	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4326.753	432.6753	-1.932	2.9490	23785.288	5.0	5.8140	46893.074	4.0	9.0	1.200	1.340	AO	6.03E+07	7.780	-5.880	282.259	-7.687	282.259	1.000	0.830	67.000	s	p	F	0	1	26.0	26.000000	26.00	BWL	T	T	T	T	T	T	432.6770	432.6550	432.6850		132678	132655	132685	0.609	0.541	432.6550	432.6850	132655	132685	432.6766	0.0045	-0.6449	1.000	9999.0000	0.0011	0.0106	7.3317	40890	0.645	0.553	0.0073	-4.77	72.6	2.4	124.2	0.740	1.000	0.0270	0.072	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4327.096	432.7096	-0.804	3.5470	28608.484	2.0	6.4110	51708.201	2.0	5.0	1.030	1.030	AO	9.77E+07	7.990	-5.260	297.272	-7.667	297.272	1.000	0.860	92.560	s	p	F	0	1	26.0	26.000000	26.00	BWL	T	T	T	T	T	T	432.7110	432.7010	432.7320		132712	132701	132732	0.730	0.661	432.7010	432.7320	132701	132732	432.7116	0.0055	-0.7333	1.000	9999.0000	0.0013	0.0129	8.9424	33525	0.733	0.720	0.0101	-4.63	100.7	2.8	124.2	0.737	1.000	0.0329	0.025	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4327.776	432.7776	-2.411	3.6950	29802.185	4.0	6.5590	52901.903	5.0	11.0	0.980	0.830	GA	1.10E+08	8.040	-6.080	-7.790	-7.790	-7.790	1.000	0.390	18.790	s	p	F	0	1	26.0	26.000000	26.00	K07	T	T	T	T	T	T	432.7790	432.7590	432.7830		132780	132759	132783	0.173	0.105	432.7590	432.7830	132759	132783	432.7787	0.0050	-0.1800	1.000	9999.0000	0.0027	0.0117	8.1274	36887	0.180	0.174	0.0022	-5.28	22.5	3.3	124.2	0.818	1.000	0.0299	0.008	0.0000	0.0000	0	0.000	False	False	False
Ni 1	4333.197	433.3197	-1.137	4.1050	33109.058	3.0	6.9660	56184.580	4.0	9.0	1.190	1.050	GA	1.58E+08	8.200	-3.820	-7.270	-7.270	-7.270	1.000	0.350	18.650	p	d	F	0	1	28.0	28.000000	28.00	K08	T	T	T	T	T	T	433.3210	433.3130	433.3310		133322	133313	133331	0.167	0.098	433.3130	433.3310	133313	133331	433.3212	0.0045	-0.1702	1.000	9999.0000	0.0036	0.0105	7.2905	41121	0.170	0.127	0.0019	-5.36	19.1	2.9	124.2	0.890	1.000	0.0268	0.017	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4334.928	433.4928	-1.796	4.3010	34689.906	1.0	7.1610	57757.359	1.0	3.0	-0.020	0.000	GA	1.70E+08	8.230	-5.130	-7.320	-7.320	-7.320	1.000	0.400	20.690	p	s	F	0	1	26.0	26.000000	26.00	K07	T	T	T	T	T	T	433.4940	433.4880	433.5090		133495	133488	133509	0.188	0.120	433.4880	433.5090	133488	133509	433.4934	0.0048	-0.1955	1.000	9999.0000	0.0028	0.0113	7.8332	38272	0.196	0.170	0.0024	-5.26	23.6	3.1	124.2	0.873	1.000	0.0289	0.013	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4344.281	434.4281	-1.910	1.0840	8743.050	2.5	3.9370	31754.047	1.5	4.0	1.210	0.920	GA	1.45E+08	8.160	-6.430	-7.850	-7.850	-7.850	1.000	0.840	72.300	s	p	F	0	2	22.1	22.000000	22.01	PTP	T	T	T	T	T	T	434.4290	434.4130	434.4400		134430	134413	134440	0.684	0.616	434.4130	434.4400	134413	134440	434.4295	0.0046	-0.6860	1.000	9999.0000	0.0011	0.0108	7.4327	40334	0.686	0.604	0.0079	-4.74	78.7	2.5	124.2	0.644	1.000	0.0274	0.053	0.0000	0.0000	0	0.000	False	False	False
Fe 2	4369.400	436.9400	-3.584	2.7780	22406.082	0.5	5.6150	45288.028	1.5	4.0	2.680	0.450	AO	2.88E+08	8.460	-6.540	180.249	-7.880	180.249	1.000	0.680	42.690	s	p	F	0	2	26.1	26.000000	26.01	RU	T	T	T	T	T	T	436.9410	436.9310	436.9490		136942	136931	136949	0.388	0.320	436.9310	436.9490	136931	136949	436.9416	0.0046	-0.3852	1.000	9999.0000	0.0019	0.0108	7.4430	40278	0.385	0.352	0.0044	-4.99	44.5	2.8	124.2	0.841	1.000	0.0276	0.029	0.0000	0.0000	0	0.000	False	False	False
Ni 1	4370.035	437.0035	-1.466	3.6350	29318.252	3.0	6.4720	52200.202	3.0	7.0	1.090	1.330	GA	1.10E+08	8.040	-4.810	-7.320	-7.320	-7.320	1.000	0.430	22.100	p	s	F	0	1	28.0	28.000000	28.00	K08	T	T	T	T	T	T	437.0050	436.9980	437.0090		137006	136998	137009	0.161	0.092	436.9980	437.0090	136998	137009	437.0057	0.0052	-0.1654	1.000	9999.0000	0.0070	0.0122	8.3945	35713	0.165	0.124	0.0022	-5.31	21.5	3.6	124.2	0.721	1.000	0.0312	0.011	0.0000	0.0000	0	0.000	False	False	False
Ni 1	4386.458	438.6458	-1.440	3.8330	30915.230	1.0	6.6580	53700.392	1.0	3.0	0.550	0.500	GA	7.59E+07	7.880	-4.800	-7.320	-7.320	-7.320	1.000	0.330	16.770	p	s	F	0	1	28.0	28.000000	28.00	K08	T	T	T	T	T	T	438.6470	438.6330	438.6530		138648	138633	138653	0.148	0.080	438.6330	438.6530	138633	138653	438.6467	0.0043	-0.1584	1.000	9999.0000	0.0030	0.0101	6.8861	43536	0.158	0.145	0.0017	-5.41	17.0	2.8	124.2	0.907	1.000	0.0257	0.008	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4386.846	438.6846	-0.960	2.5980	20954.284	2.5	5.4230	43739.444	3.5	8.0	0.860	0.890	GA	2.82E+08	8.450	-6.540	-7.830	-7.830	-7.830	1.000	0.730	52.120	d	p	F	0	2	22.1	22.000000	22.01	PTP	T	T	T	T	T	T	438.6860	438.6760	438.6950		138687	138676	138695	0.515	0.447	438.6760	438.6950	138676	138695	438.6856	0.0044	-0.5412	1.000	9999.0000	0.0016	0.0104	7.1353	42015	0.541	0.408	0.0060	-4.86	60.1	2.6	124.2	0.720	1.000	0.0266	0.036	0.0000	0.0000	0	0.000	False	False	False
